OTU_ID,Taxonomy
OTU421,"k: Fungi ,p: Ascomycota ,c: Saccharomycetes ,o: Saccharomycetales ,f: unidentified ,g: unidentified ,s: Saccharomycetales_sp"
OTU422,
OTU423,"k: Fungi ,p: Rozellomycota ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Rozellomycota_sp"
OTU424,
OTU425,
OTU426,
OTU428,
OTU427,
OTU429,
OTU430,
OTU431,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU432,
OTU434,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU433,
OTU435,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU436,
OTU437,
OTU438,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU439,
OTU440,
OTU441,
OTU442,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU444,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU445,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU443,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Boletales ,f: unidentified ,g: unidentified ,s: Boletales_sp"
OTU446,
OTU447,
OTU449,
OTU450,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU448,"k: Fungi ,p: Olpidiomycota ,c: GS18 ,o: unidentified ,f: unidentified ,g: unidentified ,s: GS18_sp"
OTU451,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU453,
OTU452,
OTU454,
OTU457,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU455,
OTU456,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU458,
OTU459,
OTU460,
OTU461,
OTU463,
OTU464,
OTU462,
OTU465,
OTU466,
OTU467,"k: Fungi ,p: Glomeromycota ,c: Paraglomeromycetes ,o: Paraglomerales ,f: unidentified ,g: unidentified ,s: Paraglomerales_sp"
OTU469,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU470,
