"OTU_ID","kingdom","phylum","class","order","family","genus"
"OTU17831"," Fungi "," Ascomycota "," Dothideomycetes "," Tubeufiales "," Tubeufiaceae "," Helicosporium "
"OTU17832"," Fungi "," Basidiomycota "," Agaricomycetes "," Atheliales "," Tylosporaceae "," Amphinema "
"OTU17835"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17834"," Fungi "," Ascomycota "," Sordariomycetes "," Lulworthiales "," Lulworthiaceae "," Zalerion "
"OTU17837"," Fungi "," Rozellomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17833"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Xylariaceae "," Nemania "
"OTU17836"," Fungi "," Ascomycota "," Lecanoromycetes "," Ostropales "," Stictidaceae "," unidentified "
"OTU17840"," Fungi "," Rozellomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17842"," Fungi "," Rozellomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17838"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Teichosporaceae "," unidentified "
"OTU17841"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17839"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Pleosporales_fam_Incertae_sedis "," Phaeomycocentrospora "
"OTU17843"," Fungi "," Ascomycota "," Sordariomycetes "," Hypocreales "," Clavicipitaceae "," Metarhizium "
"OTU17845"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17849"," Fungi "," Ascomycota "," Pezizomycetes "," unidentified "," unidentified "," unidentified "
"OTU17846"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17848"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17844"," Fungi "," Ascomycota "," Sordariomycetes "," Hypocreales "," Hypocreaceae "," Trichoderma "
"OTU17850"," Fungi "," Ascomycota "," Eurotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU17847"," Fungi "," Ascomycota "," Pezizomycetes "," unidentified "," unidentified "," unidentified "
