OTU270	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH1556894.08FU(0.53)	+
OTU271			
OTU273			
OTU274			
OTU272			
OTU275			
OTU276			
OTU278	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3328544.08FU(0.32)	+
OTU277	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2720927.08FU(0.93)	+
OTU279			
OTU281	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2704044.08FU(0.75)	+
OTU280	k:Fungi(1.00),p:unidentified(0.85),c:unidentified(0.85),o:unidentified(0.85),f:unidentified(0.85),g:unidentified(0.85),s:Fungi_sp|SH3316286.08FU(0.85)	+
OTU282			
OTU283			
OTU284			
OTU285	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH1556248.08FU(0.57)	+
OTU286			
OTU288	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3568673.08FU(1.00)	+
OTU287			
OTU289			
OTU290			
OTU291	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2704044.08FU(0.42)	+
OTU293			
OTU294			
OTU292			
OTU295			
OTU298			
OTU296	k:Fungi(1.00),p:unidentified(0.82),c:unidentified(0.82),o:unidentified(0.82),f:unidentified(0.82),g:unidentified(0.82),s:Fungi_sp|SH3316286.08FU(0.81)	+
OTU297	k:Fungi(1.00),p:unidentified(0.85),c:unidentified(0.85),o:unidentified(0.85),f:unidentified(0.85),g:unidentified(0.87),s:Fungi_sp|SH3316286.08FU(0.81)	+
OTU299			
OTU300			
OTU302	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2750708.08FU(0.99)	+
OTU304			
OTU305	k:Fungi(1.00),p:Rozellomycota(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Rozellomycota_sp|SH3326823.08FU(0.52)	+
OTU303	k:Fungi(1.00),p:unidentified(0.98),c:unidentified(0.98),o:unidentified(0.98),f:unidentified(0.99),g:unidentified(0.99),s:Fungi_sp|SH2616907.08FU(0.40)	+
OTU306	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2734735.08FU(0.53)	+
OTU301	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Physalacriaceae(1.00),g:Armillaria(1.00),s:Armillaria_mellea|SH1577900.08FU(0.89)	+
OTU307	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3329749.08FU(1.00)	+
OTU308			
OTU309	k:Fungi(1.00),p:Rozellomycota(1.00),c:Rozellomycotina_cls_Incertae_sedis(1.00),o:GS04(1.00),f:unidentified(1.00),g:unidentified(1.00),s:GS04_sp|SH3342995.08FU(1.00)	+
OTU312	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU311			
OTU310			
OTU313			
OTU314			
OTU315			
OTU316			
OTU317			
OTU318	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3318043.08FU(0.90)	+
OTU320	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(1.00)	+
OTU322	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338550.08FU(0.64)	+
OTU319			
OTU321			
OTU324			
OTU325			
OTU323			
OTU326	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3318043.08FU(0.97)	+
OTU327	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2720528.08FU(1.00)	+
OTU328			
OTU330			
OTU329	k:Fungi(1.00),p:unidentified(0.99),c:unidentified(0.99),o:unidentified(0.99),f:unidentified(0.99),g:unidentified(0.99),s:Fungi_sp|SH3317048.08FU(0.93)	+
OTU333			
